rank,team,group,rating,avg_squad_age,avg_trans_value,W,D,L,GF,GA,GD,W%
1,France,I,1877.32,26.4,53.88,4,1,0,14,5,9,80.0
2,Spain,H,1876.4,27.7,39.98,3,2,0,13,2,11,60.0
3,Argentina,J,1874.81,28.3,34.14,5,0,0,16,1,15,100.0
4,England,L,1825.97,25.8,52.3,3,1,1,10,2,8,60.0
5,Portugal,K,1763.83,27.8,36.19,2,2,1,13,5,8,40.0
6,Brazil,C,1761.16,27.7,28.0,3,1,1,13,6,7,60.0
7,Netherlands,F,1757.87,27.2,32.75,3,2,0,12,3,9,60.0
8,Morocco,C,1755.87,25.5,18.78,3,2,0,8,2,6,60.0
9,Belgium,G,1734.71,27.2,20.36,3,2,0,18,6,12,60.0
10,Germany,E,1730.37,27.3,35.85,5,0,0,18,4,14,100.0
11,Croatia,L,1717.07,28.3,12.9,4,0,1,12,7,5,80.0
13,Colombia,K,1693.09,27.6,9.03,2,1,2,7,6,1,40.0
14,Senegal,I,1688.99,25.4,15.26,3,0,2,8,7,1,60.0
15,Mexico,A,1681.03,26.1,5.11,3,2,0,8,1,7,60.0
16,USA,D,1673.13,26.7,16.09,3,0,2,12,11,1,60.0
17,Uruguay,H,1673.07,28.0,14.34,1,3,1,4,7,-3,20.0
18,Japan,F,1660.43,27.2,9.77,5,0,0,8,0,8,100.0
19,Switzerland,B,1649.4,28.3,11.51,2,2,1,12,7,5,40.0
22,Ecuador,E,1610.53,25.3,11.07,2,3,0,6,3,3,40.0
24,South Korea,A,1594.35,27.7,5.16,3,0,2,8,5,3,60.0
25,Turkiye,D,1586.79,26.2,15.51,4,1,0,10,3,7,80.0
26,Australia,D,1581.22,26.9,2.0,2,0,3,6,6,0,40.0
27,Norway,I,1572.46,26.9,20.83,2,2,1,10,5,5,40.0
28,Austria,J,1568.91,27.6,8.9,3,1,1,9,3,6,60.0
29,Sweden,F,1551.34,26.7,19.14,2,1,2,8,9,-1,40.0
30,Tunisia,F,1530.18,26.4,2.99,1,3,1,5,5,0,20.0
31,Iran,G,1521.43,28.8,0.7,2,2,1,6,2,4,40.0
32,Saudi Arabia,H,1510.87,27.5,0.95,0,1,4,2,9,-7,0.0
33,Canada,B,1500.64,26.4,7.22,2,3,0,5,2,3,40.0
34,Scotland,C,1491.22,27.9,7.23,2,0,3,10,7,3,40.0
35,Algeria,J,1478.56,25.4,12.25,3,1,1,11,3,8,60.0
36,Czechia,A,1471.24,27.1,5.41,3,2,0,13,5,8,60.0
37,Ivory Coast,E,1461.83,25.1,20.86,4,0,1,13,4,9,80.0
38,Paraguay,D,1449.27,27.3,3.89,2,0,3,5,7,-2,40.0
39,Egypt,G,1438.91,27.8,5.48,2,2,1,5,1,4,40.0
40,South Africa,A,1401.56,26.6,1.17,1,2,2,6,7,-1,20.0
43,Bosnia-Herzegovina,B,1389.43,26.7,4.35,1,4,0,6,4,2,20.0
44,Ghana,L,1378.62,24.6,7.74,0,0,5,2,11,-9,0.0
47,Panama,L,1361.44,29.5,0.9,1,2,2,6,10,-4,20.0
48,Qatar,B,1340.21,28.4,0.47,0,1,4,3,8,-5,0.0
51,Jordan,J,1271.38,27.5,0.38,2,1,2,7,9,-2,40.0
52,Iraq,I,1258.73,25.6,0.68,3,0,2,5,5,0,60.0
55,Cape Verde,H,1241.56,29.1,1.71,1,3,1,7,6,1,20.0
58,DR Congo,K,1229.84,28.4,6.31,3,1,1,7,2,5,60.0
61,Uzbekistan,K,1198.43,26.5,2.03,2,2,1,6,3,3,40.0
72,New Zealand,G,1281.34,28.2,0.94,1,1,3,6,8,-2,20.0
78,Haiti,C,1201.67,27.2,2.18,2,1,2,4,5,-1,40.0
85,Curacao,E,1098.32,28.0,1.01,1,1,3,9,11,-2,20.0
